  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
   184.0  20.425  35.238  217.42  0.1052  0.2401  94.174      38  2222222
   185.0  20.424  35.238  218.32  0.1035  0.2398  94.181      27  2222222
   186.0  20.424  35.238  218.06  0.0931  0.2404  94.167      22  2222222
   187.0  20.424  35.238  217.32  0.0936  0.2402  94.170      19  2222222
   188.0  20.423  35.237  216.66  0.0931  0.2403  94.168      19  2222222
   189.0  20.390  35.234  216.10  0.0936  0.2403  94.169      24  2222222
   190.0  20.346  35.232  216.34  0.0866  0.2401  94.172      34  2222222
   191.0  20.314  35.229  216.66  0.0919  0.2396  94.186      40  2222222
   192.0  20.302  35.228  215.84  0.0936  0.2395  94.188      35  2222222
   193.0  20.286  35.226  215.84  0.0933  0.2391  94.198      29  2222222
   194.0  20.275  35.225  215.90  0.0837  0.2390  94.200      22  2222222
   195.0  20.263  35.224  215.70  0.0821  0.2388  94.206      19  2222222
   196.0  20.249  35.222  215.96  0.0821  0.2387  94.208      17  2222222
   197.0  20.233  35.220  215.89  0.0821  0.2386  94.211      17  2222222
   198.0  20.215  35.218  215.10  0.0728  0.2384  94.214      20  2222222
   199.0  20.184  35.216  214.57  0.0774  0.2385  94.213      29  2222222
   200.0  20.163  35.213  214.79  0.0819  0.2389  94.203      59  2222222
   201.0  20.129  35.210  214.77  0.0897  0.2380  94.223      35  2222222
   202.0  20.117  35.209  214.69  0.0773  0.2379  94.227      24  2222222
   203.0  20.095  35.206  214.64  0.0701  0.2377  94.229      23  2222222
   204.0  20.070  35.204  214.85  0.0700  0.2376  94.232      20  2222222
   205.0  20.042  35.201  214.96  0.0706  0.2376  94.233      20  2222222
   206.0  20.018  35.199  214.65  0.0695  0.2383  94.217      22  2222222
   207.0  19.999  35.197  214.36  0.0701  0.2378  94.227      23  2222222
   208.0  19.975  35.195  214.45  0.0706  0.2375  94.235      24  2222222
   209.0  19.962  35.193  214.82  0.0639  0.2377  94.230      26  2222222
   210.0  19.949  35.191  215.01  0.0658  0.2375  94.235      32  2222222
   211.0  19.930  35.189  214.91  0.0633  0.2374  94.237      43  2222222
   212.0  19.915  35.187  214.92  0.0779  0.2374  94.236      38  2222222
   213.0  19.902  35.185  214.75  0.0706  0.2381  94.221      25  2222222
   214.0  19.895  35.184  215.04  0.0590  0.2374  94.237      23  2222222
   215.0  19.879  35.181  215.54  0.0590  0.2374  94.238      22  2222222
   216.0  19.839  35.177  215.50  0.0590  0.2374  94.237      18  2222222
   217.0  19.805  35.173  215.50  0.0590  0.2375  94.235      18  2222222
   218.0  19.758  35.169  215.85  0.0590  0.2374  94.237      18  2222222
   219.0  19.715  35.165  215.79  0.0590  0.2374  94.237      26  2222222
   220.0  19.671  35.161  215.38  0.0694  0.2374  94.238      53  2222222
   221.0  19.615  35.155  215.85  0.0669  0.2373  94.240      38  2222222
   222.0  19.557  35.149  215.94  0.0590  0.2366  94.255      25  2222222
   223.0  19.516  35.145  217.06  0.0590  0.2371  94.244      20  2222222
   224.0  19.494  35.144  217.04  0.0590  0.2373  94.240      18  2222222
   225.0  19.489  35.143  216.63  0.0584  0.2365  94.260      17  2222222
   226.0  19.464  35.136  216.92  0.0590  0.2374  94.237      19  2222222
   227.0  19.310  35.126  217.46  0.0551  0.2370  94.246      26  2222222
   228.0  19.280  35.123  216.64  0.0562  0.2367  94.254      69  2222222
   229.0  19.273  35.121  217.11  0.0590  0.2367  94.253      32  2222222
   230.0  19.262  35.119  217.64  0.0573  0.2366  94.258      20  2222222
   231.0  19.242  35.116  218.24  0.0475  0.2369  94.249      16  2222222
   232.0  19.226  35.115  218.38  0.0466  0.2365  94.259      13  2222222
   233.0  19.211  35.113  218.23  0.0475  0.2366  94.257      16  2222222
   234.0  19.191  35.110  217.70  0.0554  0.2366  94.257      16  2222222
   235.0  19.128  35.104  217.23  0.0541  0.2368  94.252      21  2222222
   236.0  19.086  35.099  217.99  0.0522  0.2366  94.256      73  2222222
   237.0  19.134  35.101  217.85  0.0527  0.2366  94.257      44  2222222
   238.0  19.005  35.092  219.21  0.0475  0.2364  94.261      20  2222222
   239.0  18.947  35.086  220.27  0.0468  0.2364  94.261      18  2222222
   240.0  18.854  35.079  220.76  0.0467  0.2364  94.261      16  2222222
   241.0  18.784  35.072  220.31  0.0475  0.2364  94.261      18  2222222
   242.0  18.761  35.068  219.94  0.0475  0.2363  94.263      18  2222222
   243.0  18.747  35.065  219.77  0.0508  0.2364  94.262      21  2222222
   244.0  18.725  35.060  219.07  0.0540  0.2363  94.263      30  2222222
   245.0  18.705  35.055  219.44  0.0469  0.2364  94.261      57  2222222
   246.0  18.689  35.051  218.72  0.0471  0.2364  94.260      32  2222222
   247.0  18.671  35.047  218.33  0.0574  0.2369  94.248      22  2222222
   248.0  18.631  35.036  217.84  0.0500  0.2367  94.255      19  2222222
   249.0  18.533  35.017  217.38  0.0467  0.2364  94.261      15  2222222
   250.0  18.466  35.005  217.10  0.0475  0.2366  94.258      20  2222222
   251.0  18.426  34.997  216.74  0.0461  0.2368  94.251      25  2222222
   252.0  18.355  34.985  216.27  0.0526  0.2364  94.262      52  2222222
   253.0  18.253  34.970  216.46  0.0557  0.2364  94.261      38  2222222
   254.0  18.119  34.949  216.17  0.0512  0.2364  94.261      22  2222222
   255.0  18.079  34.939  215.64  0.0584  0.2365  94.260      18  2222222
   256.0  18.052  34.933  214.85  0.0475  0.2365  94.260      17  2222222
   257.0  18.024  34.928  214.37  0.0475  0.2365  94.260      15  2222222
   258.0  17.964  34.916  214.82  0.0475  0.2368  94.252      18  2222222
   259.0  17.879  34.908  215.19  0.0475  0.2370  94.246      21  2222222
   260.0  17.868  34.908  215.35  0.0468  0.2364  94.262      36  2222222
   261.0  17.850  34.905  215.48  0.0465  0.2364  94.260      62  2222222
   262.0  17.794  34.898  215.44  0.0468  0.2359  94.275      33  2222222
   263.0  17.723  34.891  215.65  0.0464  0.2360  94.271      21  2222222
   264.0  17.703  34.890  216.07  0.0468  0.2356  94.280      18  2222222
   265.0  17.658  34.883  216.55  0.0462  0.2358  94.276      18  2222222
   266.0  17.574  34.873  216.52  0.0475  0.2363  94.264      18  2222222
   267.0  17.513  34.867  216.09  0.0469  0.2363  94.265      22  2222222
   268.0  17.501  34.864  215.46  0.0466  0.2361  94.270      26  2222222
   269.0  17.482  34.861  215.81  0.0558  0.2366  94.255      29  2222222
   270.0  17.458  34.857  216.67  0.0499  0.2384  94.213      34  2222222
   271.0  17.419  34.849  215.89  0.0539  0.2362  94.266      36  2222222
   272.0  17.268  34.826  216.10  0.0471  0.2358  94.275      29  2222222
   273.0  17.127  34.810  215.98  0.0470  0.2357  94.279      27  2222222
   274.0  16.953  34.787  215.57  0.0470  0.2362  94.266      24  2222222
   275.0  16.879  34.781  214.96  0.0475  0.2356  94.282      24  2222222
   276.0  16.855  34.775  214.74  0.0470  0.2354  94.286      25  2222222
   277.0  16.824  34.769  214.67  0.0470  0.2354  94.286      27  2222222
   278.0  16.798  34.765  214.61  0.0475  0.2354  94.286      27  2222222
   279.0  16.771  34.760  214.86  0.0471  0.2357  94.278      30  2222222
   280.0  16.720  34.752  214.96  0.0470  0.2360  94.272      26  2222222
   281.0  16.702  34.749  214.60  0.0590  0.2359  94.275      22  2222222
   282.0  16.659  34.742  214.35  0.0485  0.2355  94.283      23  2222222
   283.0  16.592  34.732  214.10  0.0556  0.2355  94.284      24  2222222
   284.0  16.551  34.726  213.62  0.0500  0.2357  94.278      32  2222222
   285.0  16.511  34.720  214.08  0.0539  0.2358  94.276      43  2222222
   286.0  16.465  34.713  214.18  0.0467  0.2354  94.286      32  2222222
   287.0  16.432  34.705  213.34  0.0475  0.2354  94.287      23  2222222
   288.0  16.360  34.694  212.98  0.0475  0.2355  94.282      19  2222222
   289.0  16.290  34.682  212.99  0.0475  0.2356  94.280      17  2222222
   290.0  16.228  34.675  212.98  0.0475  0.2354  94.286      18  2222222
   291.0  16.203  34.672  212.51  0.0465  0.2353  94.289      24  2222222
   292.0  16.179  34.668  211.74  0.0560  0.2349  94.297      34  2222222
   293.0  16.163  34.665  212.79  0.0469  0.2359  94.274      43  2222222
   294.0  16.136  34.659  213.60  0.0470  0.2353  94.288      26  2222222
   295.0  16.078  34.650  212.70  0.0475  0.2352  94.291      24  2222222
   296.0  15.946  34.632  212.51  0.0469  0.2351  94.292      22  2222222
   297.0  15.728  34.609  212.92  0.0465  0.2354  94.286      22  2222222
   298.0  15.628  34.604  212.93  0.0460  0.2354  94.286      23  2222222
   299.0  15.592  34.598  213.06  0.0470  0.2354  94.286      25  2222222
   300.0  15.553  34.592  213.14  0.0472  0.2350  94.296      37  2222222
   301.0  15.541  34.588  212.58  0.0507  0.2346  94.304      39  2222222
   302.0  15.506  34.583  213.42  0.0531  0.2343  94.310      29  2222222
   303.0  15.437  34.573  213.95  0.0469  0.2343  94.310      20  2222222
